version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness,TQI
1.13.1,1.0,1.0,-0.99,1.0,1.0,1.0,4.01
1.14.1,1.015606023173847,1.0118860048587457,-1.0285288348870205,1.0170527708833563,0.9917115641852035,1.004199989002906,4.011927517217038
1.15.1,1.0193981318177268,1.0448436183508565,-1.0436747151411918,1.0199492175401617,0.9966089680053514,1.0219667630447096,4.0590919836176145
1.16.1,1.0381229680728508,1.068372850789082,-1.0804883453373706,1.0376710684936268,1.0138198274138839,1.0316163347622258,4.109114704194298
1.17.1,1.0682473168745314,1.1340163480298036,-1.1589437623696686,1.0649874281147715,1.0528898729236853,1.0542148295750484,4.215412033148172
1.18.1,1.083855795938832,1.1603811240798694,-1.170205184636207,1.0775166476482034,1.0254376074035716,1.0594905624690092,4.236476552903278
1.19.1,1.0903416220629054,1.158291044583859,-1.2123442059180218,1.1941292820103429,1.010443120671122,1.0546600091419929,4.2955208725522
1.20.1,1.1057035833310396,1.1105024514210022,-1.2641373135808174,1.206285713391245,1.0040159756362321,1.034150113204242,4.196520523402944
1.21.1,1.1170709352214931,1.1118933581253763,-1.2835630037461114,1.2122322356345923,1.0305160386993713,1.0553081763977035,4.243457740332425
1.22.1,1.1277875588026918,1.118277899645392,-1.2867458052359795,1.3258459740257313,1.0206182880195973,1.055292886880066,4.361076802137498
